HoursPosted,timePosted 24hr,day posted,mediatype,sentiment,likes,isAd,comments,views,ratioLikesToHoursPosted,ratioVideoViewToHoursPosted,ratioCommentsToHoursPosted,noOfHashtags,noOfMentions,noOfFollowers,noOfFollowees
101,6,Sunday,GraphVideo,neutral,18678,False,4199,226064,184.93069306930693,2238.2574257425745,41.57425742574257,2,0,2470992,0
101,6,Sunday,GraphImage,positive,13296,False,969,0,131.64356435643563,0,9.594059405940595,1,0,2470992,0
102,5,Sunday,GraphVideo,positive,13296,False,598,136016,130.35294117647058,1333.4901960784314,5.862745098039215,1,2,2470992,0
102,5,Sunday,GraphImage,neutral,29388,False,2904,0,288.11764705882354,0,28.470588235294116,0,0,2470992,0
103,5,Sunday,GraphVideo,neutral,26219,False,5197,273471,254.55339805825244,2655.0582524271845,50.45631067961165,2,0,2470992,0
110,21,Saturday,GraphImage,neutral,1512,True,0,0,13.745454545454546,0,0.0,2,1,2470992,0
111,20,Saturday,GraphVideo,neutral,4436,False,330,68403,39.96396396396396,616.2432432432432,2.972972972972973,1,0,2470992,0
111,20,Saturday,GraphSidecar,neutral,10887,False,821,0,98.08108108108108,0,7.396396396396397,1,0,2470992,0
112,19,Saturday,GraphSidecar,positive,17600,False,778,0,157.14285714285714,0,6.946428571428571,0,0,2470992,0
113,18,Saturday,GraphSidecar,neutral,9799,False,1173,0,86.71681415929204,0,10.380530973451327,1,0,2470992,0
113,18,Saturday,GraphImage,neutral,12655,False,1726,0,111.99115044247787,0,15.274336283185841,0,0,2470992,0
113,18,Saturday,GraphVideo,positive,58281,False,11209,419098,515.7610619469026,3708.83185840708,99.19469026548673,1,0,2470992,0
114,17,Saturday,GraphVideo,positive,2915,True,220,48515,25.57017543859649,425.5701754385965,1.9298245614035088,3,1,2470992,0
114,17,Saturday,GraphSidecar,neutral,18345,False,2448,0,160.92105263157896,0,21.473684210526315,1,0,2470992,0
115,16,Saturday,GraphImage,neutral,41054,False,7413,0,356.9913043478261,0,64.4608695652174,0,0,2470992,0
116,15,Saturday,GraphVideo,neutral,6943,False,577,86063,59.85344827586207,741.9224137931035,4.974137931034483,1,36,2470992,0
116,15,Saturday,GraphImage,negative,12586,False,612,0,108.5,0,5.275862068965517,2,0,2470992,0
116,15,Saturday,GraphImage,positive,15536,False,1019,0,133.93103448275863,0,8.78448275862069,1,0,2470992,0
117,14,Saturday,GraphImage,neutral,5931,False,168,0,50.69230769230769,0,1.435897435897436,0,0,2470992,0
118,14,Saturday,GraphImage,positive,13158,False,1771,0,111.50847457627118,0,15.008474576271187,0,0,2470992,0
118,13,Saturday,GraphVideo,negative,10221,False,612,141897,86.61864406779661,1202.5169491525423,5.186440677966102,2,0,2470992,0
119,12,Saturday,GraphVideo,neutral,2033,False,0,36045,17.084033613445378,302.89915966386553,0.0,0,2,2470992,0
119,12,Saturday,GraphVideo,positive,28939,False,7841,278964,243.18487394957984,2344.235294117647,65.89075630252101,4,0,2470992,0
119,12,Saturday,GraphImage,negative,18751,False,3166,0,157.57142857142858,0,26.605042016806724,1,0,2470992,0
120,11,Saturday,GraphSidecar,positive,1972,True,67,0,16.433333333333334,0,0.5583333333333333,0,5,2470992,0
120,11,Saturday,GraphSidecar,negative,26090,False,4569,0,217.41666666666666,0,38.075,0,0,2470992,0
121,10,Saturday,GraphVideo,neutral,10291,False,634,157342,85.0495867768595,1300.3471074380166,5.239669421487603,3,0,2470992,0
122,9,Saturday,GraphImage,neutral,2325,True,125,0,19.057377049180328,0,1.0245901639344261,0,2,2470992,0
122,9,Saturday,GraphImage,negative,19593,False,1858,0,160.5983606557377,0,15.229508196721312,0,0,2470992,0
